
> pw-manager@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.104:3000

✓ Starting...
✓ Ready in 781ms
 POST /api/passwords 200 in 184ms (compile: 151ms, render: 32ms)
 GET /api/passwords 200 in 11ms (compile: 4ms, render: 7ms)
 DELETE /api/passwords 200 in 9ms (compile: 3ms, render: 6ms)
 GET / 200 in 760ms (compile: 631ms, render: 129ms)
 GET / 200 in 38ms (compile: 4ms, render: 34ms)
 GET / 200 in 96ms (compile: 10ms, render: 86ms)
 GET /api/passwords 200 in 30ms (compile: 12ms, render: 18ms)
 GET / 200 in 653ms (compile: 8ms, render: 645ms)
 GET / 200 in 562ms (compile: 26ms, render: 536ms)
 GET / 200 in 559ms (compile: 50ms, render: 509ms)
 GET / 200 in 559ms (compile: 77ms, render: 482ms)
 GET / 200 in 439ms (compile: 29ms, render: 410ms)
 GET / 200 in 439ms (compile: 86ms, render: 354ms)
 GET /api/passwords 200 in 25ms (compile: 7ms, render: 18ms)
 GET /api/passwords 200 in 21ms (compile: 11ms, render: 10ms)
 GET /api/passwords 200 in 35ms (compile: 22ms, render: 13ms)
 GET /api/passwords 200 in 53ms (compile: 42ms, render: 11ms)
 GET /api/passwords 200 in 27ms (compile: 13ms, render: 13ms)
 GET /api/passwords 200 in 48ms (compile: 29ms, render: 19ms)
 POST /api/passwords 200 in 20ms (compile: 6ms, render: 14ms)
 POST /api/passwords 200 in 15ms (compile: 6ms, render: 9ms)
 GET /api/passwords 200 in 20ms (compile: 9ms, render: 10ms)
 GET /api/passwords 200 in 17ms (compile: 8ms, render: 9ms)
 POST /api/passwords 200 in 17ms (compile: 5ms, render: 12ms)
 POST /api/passwords 200 in 25ms (compile: 8ms, render: 18ms)
 POST /api/passwords 200 in 38ms (compile: 19ms, render: 19ms)
 GET /api/passwords 200 in 58ms (compile: 42ms, render: 16ms)
 GET /api/passwords 200 in 33ms (compile: 11ms, render: 21ms)
 GET /api/passwords 200 in 51ms (compile: 37ms, render: 15ms)
 POST /api/passwords 200 in 16ms (compile: 4ms, render: 11ms)
 GET /api/passwords 200 in 16ms (compile: 6ms, render: 10ms)
 DELETE /api/passwords 200 in 20ms (compile: 4ms, render: 15ms)
 GET /api/passwords 200 in 19ms (compile: 6ms, render: 13ms)
 GET / 200 in 140ms (compile: 107ms, render: 33ms)
 GET / 200 in 26ms (compile: 3ms, render: 23ms)
 GET / 200 in 50ms (compile: 4ms, render: 46ms)
 GET /api/passwords 200 in 9ms (compile: 3ms, render: 5ms)
 POST /api/passwords 200 in 15ms (compile: 4ms, render: 11ms)
 GET /api/passwords 200 in 9ms (compile: 3ms, render: 7ms)
 GET / 200 in 134ms (compile: 103ms, render: 31ms)
 GET /api/passwords 200 in 8ms (compile: 3ms, render: 5ms)
 POST /api/passwords 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 GET / 200 in 50ms (compile: 5ms, render: 45ms)
 GET /api/passwords 200 in 7ms (compile: 3ms, render: 4ms)
 POST /api/passwords 200 in 9ms (compile: 2ms, render: 7ms)
 GET /api/passwords 200 in 8ms (compile: 3ms, render: 6ms)
 POST /api/passwords 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/passwords 200 in 7ms (compile: 3ms, render: 4ms)
 GET / 200 in 46ms (compile: 2ms, render: 44ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 POST /api/passwords 200 in 14ms (compile: 4ms, render: 10ms)
 GET /api/passwords 200 in 12ms (compile: 5ms, render: 7ms)
 GET / 200 in 34ms (compile: 6ms, render: 28ms)
 GET /api/passwords 200 in 10ms (compile: 3ms, render: 7ms)
 POST /api/passwords 200 in 14ms (compile: 2ms, render: 11ms)
 GET /api/passwords 200 in 9ms (compile: 3ms, render: 6ms)
 GET / 200 in 28ms (compile: 3ms, render: 25ms)
 GET /api/passwords 200 in 8ms (compile: 3ms, render: 6ms)
 POST /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 GET /api/passwords 200 in 7ms (compile: 3ms, render: 4ms)
 DELETE /api/passwords 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/passwords 200 in 7ms (compile: 3ms, render: 4ms)
 GET / 200 in 95ms (compile: 74ms, render: 21ms)
 GET / 200 in 21ms (compile: 3ms, render: 19ms)
 GET / 200 in 27ms (compile: 2ms, render: 24ms)
 GET / 200 in 31ms (compile: 2ms, render: 29ms)
 GET / 200 in 28ms (compile: 3ms, render: 25ms)
 GET /api/passwords 200 in 7ms (compile: 3ms, render: 4ms)
 GET / 200 in 30ms (compile: 3ms, render: 27ms)
 GET /api/passwords 200 in 8ms (compile: 3ms, render: 5ms)
 POST /api/passwords 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 GET / 200 in 41ms (compile: 5ms, render: 36ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 POST /api/passwords 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 POST /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 GET /api/passwords 200 in 6ms (compile: 1799µs, render: 4ms)
 GET / 200 in 25ms (compile: 3ms, render: 22ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 POST /api/passwords 200 in 6ms (compile: 1848µs, render: 4ms)
 GET /api/passwords 200 in 5ms (compile: 2ms, render: 3ms)
 GET / 200 in 26ms (compile: 3ms, render: 23ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 POST /api/passwords 200 in 11ms (compile: 3ms, render: 8ms)
 GET /api/passwords 200 in 13ms (compile: 4ms, render: 9ms)
 GET / 200 in 27ms (compile: 3ms, render: 24ms)
 GET /api/passwords 200 in 6ms (compile: 3ms, render: 4ms)
 POST /api/passwords 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 DELETE /api/passwords 200 in 12ms (compile: 4ms, render: 8ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 GET / 200 in 25ms (compile: 4ms, render: 21ms)
 GET / 200 in 116ms (compile: 86ms, render: 30ms)
 GET / 200 in 42ms (compile: 3ms, render: 39ms)
 GET /api/passwords 200 in 8ms (compile: 3ms, render: 5ms)
